user_id,recommendID,viewID,action
2,6671,4709,label
2,6671,6671,click
2,6671,6671,click
2,6671,6671,click
2,754,6671,label
2,754,754,click
2,754,754,click
2,754,None,None
2,754,754,click
2,6974,754,label
2,6974,6974,click
2,6974,6974,click
2,6974,6974,click
2,5354,6974,label
2,5354,5354,click
2,5354,5354,click
2,5354,5354,click
2,2901,5354,label
2,2901,2901,click
2,2901,2901,click
2,2901,2901,click
2,3549,2901,label
2,3549,3549,click
2,3549,3549,click
2,3549,3549,click
2,3549,None,None
2,4123,3549,label
2,4123,4123,click
2,4123,4123,click
2,4123,None,None
2,4123,4123,click
2,1380,4123,label
2,1380,1380,click
2,1380,1380,click
2,1380,None,None
2,1380,1380,click
2,2789,1380,label
2,2789,2789,click
2,2789,2789,click
2,2789,None,None
2,2789,2789,click
2,4406,2789,label
2,4406,4406,click
2,4406,4406,click
2,4406,None,None
2,4406,4406,click
2,1882,4406,label
2,1882,1882,click
2,1882,1882,click
2,1882,1882,click
2,5829,1882,label
2,5829,5829,click
2,5829,5829,click
2,5829,None,None
2,5829,5829,click
2,1461,5829,label
2,1461,1461,click
2,1461,1461,click
2,1461,1461,click
2,15,1461,label
2,15,15,click
2,15,15,click
2,15,15,click
2,15,None,None
2,4301,15,label
2,4301,4301,click
2,4301,4301,click
2,4301,4301,click
2,938,4301,label
2,938,938,click
2,938,938,click
2,938,938,click
2,1046,938,label
2,1046,1046,click
2,1046,1046,click
2,1046,1046,click
2,5042,1046,label
2,5042,5042,click
2,5042,5042,click
2,5042,None,None
2,5042,5042,click
2,5042,None,None
2,1622,5042,label
2,1622,1622,click
2,1622,1622,click
2,1622,1622,click
2,472,1622,label
2,472,472,click
2,472,472,click
2,472,472,click
2,472,None,None
2,3753,472,label
2,3753,3753,click
2,3753,3753,click
2,3753,3753,click
2,2821,3753,label
2,2821,2821,click
2,2821,2821,click
2,2821,2821,click
2,6994,2821,label
2,6994,6994,click
2,6994,6994,click
2,6994,6994,click
2,1050,6994,label
2,1050,1050,click
2,1050,1050,click
2,1050,None,None
2,1050,1050,click
2,65,1050,label
2,65,65,click
2,65,65,click
2,65,65,click
2,6834,65,label
2,6834,6834,click
2,6834,6834,click
2,6834,6834,click
2,6834,None,None
2,3792,6834,label
2,3792,3792,click
2,3792,3792,click
2,3792,3792,click
2,3058,3792,label
2,3058,3058,click
2,3058,3058,click
2,3058,3058,click
2,3058,None,None
2,5545,3058,label
2,5545,5545,click
2,5545,5545,click
2,5545,5545,click
2,3561,5545,label
2,3561,3561,click
2,3561,3561,click
2,3561,3561,click
2,6292,3561,label
2,6292,6292,click
2,6292,6292,click
2,6292,6292,click
2,2544,6292,label
2,2544,2544,click
2,2544,2544,click
2,2544,2544,click
2,2544,None,None
2,4916,2544,label
2,4916,4916,click
2,4916,4916,click
2,4916,4916,click
2,2807,4916,label
2,2807,2807,click
2,2807,2807,click
2,2807,2807,click
2,5881,2807,label
2,5881,5881,click
2,5881,5881,click
2,5881,5881,click
2,3930,5881,label
2,3930,3930,click
2,3930,3930,click
2,3930,None,None
2,3930,3930,click
2,6721,3930,label
2,6721,6721,click
2,6721,6721,click
2,6721,6721,click
2,5020,6721,label
2,5020,5020,click
2,5020,5020,click
2,5020,None,None
2,5020,5020,click
2,5020,None,None
2,4290,5020,label
2,4290,4290,click
2,4290,4290,click
2,4290,None,None
2,4290,4290,click
2,6150,4290,label
2,6150,6150,click
2,6150,6150,click
2,6150,6150,click
2,4009,6150,label
2,4009,4009,click
2,4009,4009,click
2,4009,4009,click
2,6468,4009,label
2,6468,6468,click
2,6468,6468,click
2,6468,None,None
2,6468,6468,click
2,5465,6468,label
2,5465,5465,click
2,5465,5465,click
2,5465,None,None
2,5465,5465,click
2,3801,5465,label
2,3801,3801,click
2,3801,3801,click
2,3801,3801,click
2,3801,None,None
2,6413,3801,label
2,6413,6413,click
2,6413,6413,click
2,6413,6413,click
2,1627,6413,label
2,1627,1627,click
2,1627,1627,click
2,1627,1627,click
2,1627,None,None
2,1887,1627,label
2,1887,1887,click
2,1887,1887,click
2,1887,1887,click
2,4272,1887,label
2,4272,4272,click
2,4272,4272,click
2,4272,None,None
2,4272,4272,click
2,4272,None,None
2,2478,4272,label
2,2478,2478,click
2,2478,2478,click
2,2478,2478,click
2,229,2478,label
2,229,229,click
2,229,229,click
2,229,229,click
2,481,229,label
2,481,481,click
2,481,481,click
2,481,481,click
2,481,None,None
2,5802,481,label
2,5802,5802,click
2,5802,5802,click
2,5802,None,None
2,5802,None,None
2,5802,5802,click
2,3947,5802,label
2,3947,3947,click
2,3947,3947,click
2,3947,None,None
2,3947,3947,click
2,6921,3947,label
2,6921,6921,click
2,6921,6921,click
2,6921,None,None
2,6921,6921,click
2,6921,None,None
2,6549,6921,label
2,6549,6549,click
2,6549,6549,click
2,6549,6549,click
2,4571,6549,label
2,4571,4571,click
2,4571,4571,click
2,4571,4571,click
2,4571,None,None
2,6992,4571,label
2,6992,6992,click
2,6992,6992,click
2,6992,None,None
2,6992,6992,click
2,6774,6992,label
2,6774,6774,click
2,6774,6774,click
2,6774,6774,click
2,3776,6774,label
2,3776,3776,click
2,3776,3776,click
2,3776,None,None
2,3776,None,None
2,3776,3776,click
2,1186,3776,label
2,1186,1186,click
2,1186,1186,click
2,1186,1186,click
2,1186,None,None
2,4032,1186,label
2,4032,4032,click
2,4032,4032,click
2,4032,None,None
2,4032,4032,click
2,2044,4032,label
2,2044,2044,click
2,2044,2044,click
2,2044,2044,click
2,2044,None,None
2,6077,2044,label
2,6077,6077,click
2,6077,6077,click
2,6077,6077,click
2,3290,6077,label
2,3290,3290,click
2,3290,3290,click
2,3290,3290,click
2,3290,None,None
2,2255,3290,label
2,2255,2255,click
2,2255,2255,click
2,2255,2255,click
2,3253,2255,label
2,3253,3253,click
2,3253,3253,click
2,3253,None,None
2,3253,3253,click
2,2323,3253,label
2,2323,2323,click
2,2323,2323,click
2,2323,2323,click
2,3,2323,label
2,3,3,click
2,3,3,click
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
2,3,None,None
